farm_id,region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,sowing_date,harvest_date,total_days,yield_kg_per_hectare,sensor_id,timestamp,latitude,longitude,NDVI_index,crop_disease_status,crop_condition_description
FARM0018,East Africa,Wheat,13.92,7.39,28.82,87.26,41.8,6.22,Sprinkler,Inorganic,10.74,2024-02-12,2024-07-08,147,5732.35,SENS0018,2024-02-22,32.473116,74.201531,0.45,None,"Farm FARM0018 located in East Africa is cultivating Wheat. The soil moisture is 13.92%, pH level is 7.39, and temperature is 28.82°C. Rainfall recorded is 87.26 mm with a humidity of 41.8% and sunlight duration of 6.22 hours. Irrigation type used is Sprinkler. Fertilizer type is Inorganic with a pesticide usage of 10.74 ml. Crop sowing started on 2024-02-12 and is expected to be harvested by 2024-07-08, spanning 147 days. Yield is 5732.35 kg/hectare. Sensor used is SENS0018 with data recorded on 2024-02-22. Location coordinates are (32.473116, 74.201531). NDVI index is 0.45 and crop disease status is None."
FARM0019,Central USA,Soybean,40.94,6.31,27.41,88.64,86.49,9.19,Sprinkler,Inorganic,6.12,2024-03-11,2024-07-29,140,5723.26,SENS0019,2024-05-13,16.670143,85.74749,0.36,None,"Farm FARM0019 located in Central USA is cultivating Soybean. The soil moisture is 40.94%, pH level is 6.31, and temperature is 27.41°C. Rainfall recorded is 88.64 mm with a humidity of 86.49% and sunlight duration of 9.19 hours. Irrigation type used is Sprinkler. Fertilizer type is Inorganic with a pesticide usage of 6.12 ml. Crop sowing started on 2024-03-11 and is expected to be harvested by 2024-07-29, spanning 140 days. Yield is 5723.26 kg/hectare. Sensor used is SENS0019 with data recorded on 2024-05-13. Location coordinates are (16.670143, 85.74749). NDVI index is 0.36 and crop disease status is None."
FARM0020,South USA,Rice,16.99,7.34,21.99,255.13,83.57,5.34,Sprinkler,Inorganic,19.77,2024-01-25,2024-05-11,107,3404.58,SENS0020,2024-03-30,19.99196,89.622994,0.62,None,"Farm FARM0020 located in South USA is cultivating Rice. The soil moisture is 16.99%, pH level is 7.34, and temperature is 21.99°C. Rainfall recorded is 255.13 mm with a humidity of 83.57% and sunlight duration of 5.34 hours. Irrigation type used is Sprinkler. Fertilizer type is Inorganic with a pesticide usage of 19.77 ml. Crop sowing started on 2024-01-25 and is expected to be harvested by 2024-05-11, spanning 107 days. Yield is 3404.58 kg/hectare. Sensor used is SENS0020 with data recorded on 2024-03-30. Location coordinates are (19.99196, 89.622994). NDVI index is 0.62 and crop disease status is None."
FARM0021,North India,Maize,16.25,7.43,20.31,77.1,61.73,8.37,Manual,Inorganic,32.28,2024-03-04,2024-06-26,114,5598.02,SENS0021,2024-03-28,16.368063,84.175706,0.3,Mild,"Farm FARM0021 located in North India is cultivating Maize. The soil moisture is 16.25%, pH level is 7.43, and temperature is 20.31°C. Rainfall recorded is 77.1 mm with a humidity of 61.73% and sunlight duration of 8.37 hours. Irrigation type used is Manual. Fertilizer type is Inorganic with a pesticide usage of 32.28 ml. Crop sowing started on 2024-03-04 and is expected to be harvested by 2024-06-26, spanning 114 days. Yield is 5598.02 kg/hectare. Sensor used is SENS0021 with data recorded on 2024-03-28. Location coordinates are (16.368063, 84.175706). NDVI index is 0.3 and crop disease status is Mild."
FARM0022,Central USA,Cotton,12.45,6.83,21.6,128.48,82.4,8.32,Manual,Mixed,18.92,2024-02-11,2024-06-05,115,4788.83,SENS0022,2024-04-21,13.182195,78.408927,0.86,Mild,"Farm FARM0022 located in Central USA is cultivating Cotton. The soil moisture is 12.45%, pH level is 6.83, and temperature is 21.6°C. Rainfall recorded is 128.48 mm with a humidity of 82.4% and sunlight duration of 8.32 hours. Irrigation type used is Manual. Fertilizer type is Mixed with a pesticide usage of 18.92 ml. Crop sowing started on 2024-02-11 and is expected to be harvested by 2024-06-05, spanning 115 days. Yield is 4788.83 kg/hectare. Sensor used is SENS0022 with data recorded on 2024-04-21. Location coordinates are (13.182195, 78.408927). NDVI index is 0.86 and crop disease status is Mild."
FARM0023,East Africa,Soybean,20.53,6.6,15.01,121.73,61.49,7.48,Manual,Inorganic,24.88,2024-03-07,2024-07-07,122,3892.74,SENS0023,2024-06-30,33.9958,84.719229,0.7,Moderate,"Farm FARM0023 located in East Africa is cultivating Soybean. The soil moisture is 20.53%, pH level is 6.6, and temperature is 15.01°C. Rainfall recorded is 121.73 mm with a humidity of 61.49% and sunlight duration of 7.48 hours. Irrigation type used is Manual. Fertilizer type is Inorganic with a pesticide usage of 24.88 ml. Crop sowing started on 2024-03-07 and is expected to be harvested by 2024-07-07, spanning 122 days. Yield is 3892.74 kg/hectare. Sensor used is SENS0023 with data recorded on 2024-06-30. Location coordinates are (33.9958, 84.719229). NDVI index is 0.7 and crop disease status is Moderate."
FARM0024,East Africa,Soybean,21.73,7.14,30.02,218.2,51.23,5.19,Drip,Organic,16.02,2024-02-20,2024-07-13,144,5073.96,SENS0024,2024-06-15,20.361025,82.595308,0.42,Severe,"Farm FARM0024 located in East Africa is cultivating Soybean. The soil moisture is 21.73%, pH level is 7.14, and temperature is 30.02°C. Rainfall recorded is 218.2 mm with a humidity of 51.23% and sunlight duration of 5.19 hours. Irrigation type used is Drip. Fertilizer type is Organic with a pesticide usage of 16.02 ml. Crop sowing started on 2024-02-20 and is expected to be harvested by 2024-07-13, spanning 144 days. Yield is 5073.96 kg/hectare. Sensor used is SENS0024 with data recorded on 2024-06-15. Location coordinates are (20.361025, 82.595308). NDVI index is 0.42 and crop disease status is Severe."
FARM0025,South USA,Cotton,18.54,6.81,15.11,237.74,78.5,4.64,None,Organic,12.91,2024-03-17,2024-07-14,119,2200.87,SENS0025,2024-04-17,32.93675,72.427172,0.38,Severe,"Farm FARM0025 located in South USA is cultivating Cotton. The soil moisture is 18.54%, pH level is 6.81, and temperature is 15.11°C. Rainfall recorded is 237.74 mm with a humidity of 78.5% and sunlight duration of 4.64 hours. Irrigation type used is None. Fertilizer type is Organic with a pesticide usage of 12.91 ml. Crop sowing started on 2024-03-17 and is expected to be harvested by 2024-07-14, spanning 119 days. Yield is 2200.87 kg/hectare. Sensor used is SENS0025 with data recorded on 2024-04-17. Location coordinates are (32.93675, 72.427172). NDVI index is 0.38 and crop disease status is Severe."
FARM0026,East Africa,Soybean,30.84,7.4,32.83,203.16,75.96,7.03,None,Organic,38.46,2024-02-15,2024-05-31,106,5007.11,SENS0026,2024-05-06,16.932784,85.553497,0.59,Mild,"Farm FARM0026 located in East Africa is cultivating Soybean. The soil moisture is 30.84%, pH level is 7.4, and temperature is 32.83°C. Rainfall recorded is 203.16 mm with a humidity of 75.96% and sunlight duration of 7.03 hours. Irrigation type used is None. Fertilizer type is Organic with a pesticide usage of 38.46 ml. Crop sowing started on 2024-02-15 and is expected to be harvested by 2024-05-31, spanning 106 days. Yield is 5007.11 kg/hectare. Sensor used is SENS0026 with data recorded on 2024-05-06. Location coordinates are (16.932784, 85.553497). NDVI index is 0.59 and crop disease status is Mild."
FARM0027,Central USA,Cotton,12.71,6.07,20.43,129.93,67.01,4.83,Sprinkler,Inorganic,36.23,2024-03-07,2024-06-09,94,3659.47,SENS0027,2024-04-18,23.565279,78.315485,0.42,Severe,"Farm FARM0027 located in Central USA is cultivating Cotton. The soil moisture is 12.71%, pH level is 6.07, and temperature is 20.43°C. Rainfall recorded is 129.93 mm with a humidity of 67.01% and sunlight duration of 4.83 hours. Irrigation type used is Sprinkler. Fertilizer type is Inorganic with a pesticide usage of 36.23 ml. Crop sowing started on 2024-03-07 and is expected to be harvested by 2024-06-09, spanning 94 days. Yield is 3659.47 kg/hectare. Sensor used is SENS0027 with data recorded on 2024-04-18. Location coordinates are (23.565279, 78.315485). NDVI index is 0.42 and crop disease status is Severe."
FARM0028,South USA,Soybean,43.11,5.54,32.61,193.92,63.85,9.66,Manual,Inorganic,43.41,2024-02-18,2024-07-04,137,4938.54,SENS0028,2024-04-14,22.205737,75.458706,0.59,Severe,"Farm FARM0028 located in South USA is cultivating Soybean. The soil moisture is 43.11%, pH level is 5.54, and temperature is 32.61°C. Rainfall recorded is 193.92 mm with a humidity of 63.85% and sunlight duration of 9.66 hours. Irrigation type used is Manual. Fertilizer type is Inorganic with a pesticide usage of 43.41 ml. Crop sowing started on 2024-02-18 and is expected to be harvested by 2024-07-04, spanning 137 days. Yield is 4938.54 kg/hectare. Sensor used is SENS0028 with data recorded on 2024-04-14. Location coordinates are (22.205737, 75.458706). NDVI index is 0.59 and crop disease status is Severe."
FARM0029,Central USA,Cotton,35.35,7.18,33.39,295.18,66.71,9.44,Drip,Organic,33.92,2024-01-28,2024-05-26,119,2726.92,SENS0029,2024-03-01,19.477597,74.233206,0.5,Severe,"Farm FARM0029 located in Central USA is cultivating Cotton. The soil moisture is 35.35%, pH level is 7.18, and temperature is 33.39°C. Rainfall recorded is 295.18 mm with a humidity of 66.71% and sunlight duration of 9.44 hours. Irrigation type used is Drip. Fertilizer type is Organic with a pesticide usage of 33.92 ml. Crop sowing started on 2024-01-28 and is expected to be harvested by 2024-05-26, spanning 119 days. Yield is 2726.92 kg/hectare. Sensor used is SENS0029 with data recorded on 2024-03-01. Location coordinates are (19.477597, 74.233206). NDVI index is 0.5 and crop disease status is Severe."
FARM0030,Central USA,Cotton,18.83,5.66,15.39,184.85,90.0,6.1,Drip,Mixed,6.81,2024-01-08,2024-04-19,102,5356.92,SENS0030,2024-03-27,13.809559,72.524419,0.7,Mild,"Farm FARM0030 located in Central USA is cultivating Cotton. The soil moisture is 18.83%, pH level is 5.66, and temperature is 15.39°C. Rainfall recorded is 184.85 mm with a humidity of 90.0% and sunlight duration of 6.1 hours. Irrigation type used is Drip. Fertilizer type is Mixed with a pesticide usage of 6.81 ml. Crop sowing started on 2024-01-08 and is expected to be harvested by 2024-04-19, spanning 102 days. Yield is 5356.92 kg/hectare. Sensor used is SENS0030 with data recorded on 2024-03-27. Location coordinates are (13.809559, 72.524419). NDVI index is 0.7 and crop disease status is Mild."
FARM0031,South USA,Maize,36.84,5.84,27.14,236.98,45.73,8.92,Manual,Organic,31.04,2024-02-19,2024-07-01,133,5632.1,SENS0031,2024-05-25,19.916361,84.300294,0.35,Mild,"Farm FARM0031 located in South USA is cultivating Maize. The soil moisture is 36.84%, pH level is 5.84, and temperature is 27.14°C. Rainfall recorded is 236.98 mm with a humidity of 45.73% and sunlight duration of 8.92 hours. Irrigation type used is Manual. Fertilizer type is Organic with a pesticide usage of 31.04 ml. Crop sowing started on 2024-02-19 and is expected to be harvested by 2024-07-01, spanning 133 days. Yield is 5632.1 kg/hectare. Sensor used is SENS0031 with data recorded on 2024-05-25. Location coordinates are (19.916361, 84.300294). NDVI index is 0.35 and crop disease status is Mild."
FARM0032,North India,Maize,39.76,6.7,17.42,295.96,79.13,6.08,None,Mixed,21.68,2024-03-21,2024-07-10,111,2050.61,SENS0032,2024-05-13,30.558273,72.110777,0.88,Severe,"Farm FARM0032 located in North India is cultivating Maize. The soil moisture is 39.76%, pH level is 6.7, and temperature is 17.42°C. Rainfall recorded is 295.96 mm with a humidity of 79.13% and sunlight duration of 6.08 hours. Irrigation type used is None. Fertilizer type is Mixed with a pesticide usage of 21.68 ml. Crop sowing started on 2024-03-21 and is expected to be harvested by 2024-07-10, spanning 111 days. Yield is 2050.61 kg/hectare. Sensor used is SENS0032 with data recorded on 2024-05-13. Location coordinates are (30.558273, 72.110777). NDVI index is 0.88 and crop disease status is Severe."
FARM0033,South India,Cotton,16.16,6.54,28.01,203.98,85.98,8.65,None,Inorganic,42.16,2024-03-09,2024-06-27,110,5406.85,SENS0033,2024-06-23,33.365547,75.578565,0.57,Severe,"Farm FARM0033 located in South India is cultivating Cotton. The soil moisture is 16.16%, pH level is 6.54, and temperature is 28.01°C. Rainfall recorded is 203.98 mm with a humidity of 85.98% and sunlight duration of 8.65 hours. Irrigation type used is None. Fertilizer type is Inorganic with a pesticide usage of 42.16 ml. Crop sowing started on 2024-03-09 and is expected to be harvested by 2024-06-27, spanning 110 days. Yield is 5406.85 kg/hectare. Sensor used is SENS0033 with data recorded on 2024-06-23. Location coordinates are (33.365547, 75.578565). NDVI index is 0.57 and crop disease status is Severe."
FARM0034,East Africa,Soybean,33.39,6.17,24.89,131.25,64.38,6.13,Manual,Inorganic,17.58,2024-03-23,2024-08-16,146,3105.07,SENS0034,2024-03-25,22.915681,73.821128,0.44,Severe,"Farm FARM0034 located in East Africa is cultivating Soybean. The soil moisture is 33.39%, pH level is 6.17, and temperature is 24.89°C. Rainfall recorded is 131.25 mm with a humidity of 64.38% and sunlight duration of 6.13 hours. Irrigation type used is Manual. Fertilizer type is Inorganic with a pesticide usage of 17.58 ml. Crop sowing started on 2024-03-23 and is expected to be harvested by 2024-08-16, spanning 146 days. Yield is 3105.07 kg/hectare. Sensor used is SENS0034 with data recorded on 2024-03-25. Location coordinates are (22.915681, 73.821128). NDVI index is 0.44 and crop disease status is Severe."
FARM0035,South USA,Soybean,36.54,6.88,27.92,172.71,79.65,4.56,Sprinkler,Inorganic,36.13,2024-02-22,2024-06-28,127,3476.08,SENS0035,2024-05-20,20.637595,84.918709,0.5,Severe,"Farm FARM0035 located in South USA is cultivating Soybean. The soil moisture is 36.54%, pH level is 6.88, and temperature is 27.92°C. Rainfall recorded is 172.71 mm with a humidity of 79.65% and sunlight duration of 4.56 hours. Irrigation type used is Sprinkler. Fertilizer type is Inorganic with a pesticide usage of 36.13 ml. Crop sowing started on 2024-02-22 and is expected to be harvested by 2024-06-28, spanning 127 days. Yield is 3476.08 kg/hectare. Sensor used is SENS0035 with data recorded on 2024-05-20. Location coordinates are (20.637595, 84.918709). NDVI index is 0.5 and crop disease status is Severe."
FARM0036,Central USA,Maize,18.8,5.74,18.85,79.89,66.79,8.57,Sprinkler,Organic,14.74,2024-02-09,2024-06-24,136,4358.35,SENS0036,2024-06-22,24.919769,89.610213,0.8,Moderate,"Farm FARM0036 located in Central USA is cultivating Maize. The soil moisture is 18.8%, pH level is 5.74, and temperature is 18.85°C. Rainfall recorded is 79.89 mm with a humidity of 66.79% and sunlight duration of 8.57 hours. Irrigation type used is Sprinkler. Fertilizer type is Organic with a pesticide usage of 14.74 ml. Crop sowing started on 2024-02-09 and is expected to be harvested by 2024-06-24, spanning 136 days. Yield is 4358.35 kg/hectare. Sensor used is SENS0036 with data recorded on 2024-06-22. Location coordinates are (24.919769, 89.610213). NDVI index is 0.8 and crop disease status is Moderate."
